category,source_count,train_count,validation_count,source_share_pct,validation_share_pct,validation_share_minus_source_pp
Refund_not_showing_up,162,146,16,1.619514145756273,1.5952143569292123,-0.02429978882706063
activate_my_card,159,143,16,1.5895231430570829,1.5952143569292123,0.0056912138721294525
age_limit,110,99,11,1.0996700989703088,1.0967098703888334,-0.002960228581475377
apple_pay_or_google_pay,126,113,13,1.2596221133659902,1.296111665004985,0.03648955163899492
atm_support,87,78,9,0.869739078276517,0.897308075772682,0.027568997496165037
automatic_top_up,127,114,13,1.2696191142657203,1.296111665004985,0.02649255073926482
balance_not_updated_after_bank_transfer,171,154,17,1.7094871538538436,1.694915254237288,-0.014571899616555584
balance_not_updated_after_cheque_or_cash_deposit,181,163,18,1.8094571628511449,1.794616151545364,-0.01484101130578086
beneficiary_not_allowed,156,140,16,1.5595321403578926,1.5952143569292123,0.03568221657131976
cancel_transfer,157,141,16,1.5695291412576227,1.5952143569292123,0.025685215671589656
card_about_to_expire,129,116,13,1.2896131160651805,1.296111665004985,0.006498548939804616
card_acceptance,59,53,6,0.5898230530840748,0.5982053838484547,0.008382330764379886
card_arrival,153,138,15,1.5295411376587025,1.4955134596211366,-0.0340276780375659
card_delivery_estimate,112,101,11,1.119664100769769,1.0967098703888334,-0.02295423038093558
card_linking,139,125,14,1.3895831250624813,1.3958125623130608,0.0062294372505795614
card_not_working,112,101,11,1.119664100769769,1.0967098703888334,-0.02295423038093558
card_payment_fee_charged,187,168,19,1.8694391682495253,1.8943170488534395,0.02487788060391427
card_payment_not_recognised,168,151,17,1.6794961511546536,1.694915254237288,0.0154191030826345
card_payment_wrong_exchange_rate,167,150,17,1.6694991502549235,1.694915254237288,0.025416103982364602
card_swallowed,61,55,6,0.609817054883535,0.5982053838484547,-0.011611671035080318
cash_withdrawal_charge,177,159,18,1.7694691592522245,1.794616151545364,0.025146992293139547
cash_withdrawal_not_recognised,160,144,16,1.599520143956813,1.5952143569292123,-0.004305787027600649
change_pin,122,110,12,1.21963410976707,1.1964107676969093,-0.023223342070160635
compromised_card,86,77,9,0.8597420773767869,0.897308075772682,0.03756599839589514
contactless_not_working,35,32,3,0.34989503149055284,0.29910269192422734,-0.050792339566325506
country_support,129,116,13,1.2896131160651805,1.296111665004985,0.006498548939804616
declined_card_payment,153,138,15,1.5295411376587025,1.4955134596211366,-0.0340276780375659
declined_cash_withdrawal,173,156,17,1.7294811556533038,1.694915254237288,-0.03456590141601579
declined_transfer,133,120,13,1.3296011196641007,1.296111665004985,-0.03348945465911557
direct_debit_payment_not_recognised,182,164,18,1.819454163750875,1.794616151545364,-0.024838012205510962
disposable_card_limits,121,109,12,1.2096371088673399,1.1964107676969093,-0.013226341170430533
edit_personal_details,121,109,12,1.2096371088673399,1.1964107676969093,-0.013226341170430533
