true\pred,card_arrival,card_linking,exchange_rate,card_payment_wrong_exchange_rate,extra_charge_on_statement,pending_cash_withdrawal,fiat_currency_support,card_delivery_estimate,automatic_top_up,card_not_working,exchange_via_app,lost_or_stolen_card,age_limit,pin_blocked,contactless_not_working,top_up_by_bank_transfer_charge,pending_top_up,cancel_transfer,top_up_limits,wrong_amount_of_cash_received,card_payment_fee_charged,transfer_not_received_by_recipient,supported_cards_and_currencies,getting_virtual_card,card_acceptance,top_up_reverted,balance_not_updated_after_cheque_or_cash_deposit,card_payment_not_recognised,edit_personal_details,why_verify_identity,unable_to_verify_identity,get_physical_card,visa_or_mastercard,topping_up_by_card,disposable_card_limits,compromised_card,atm_support,direct_debit_payment_not_recognised,passcode_forgotten,declined_cash_withdrawal,pending_card_payment,lost_or_stolen_phone,request_refund,declined_transfer,Refund_not_showing_up,declined_card_payment,pending_transfer,terminate_account,card_swallowed,transaction_charged_twice,verify_source_of_funds,transfer_timing,reverted_card_payment?,change_pin,beneficiary_not_allowed,transfer_fee_charged,receiving_money,failed_transfer,transfer_into_account,verify_top_up,getting_spare_card,top_up_by_cash_or_cheque,order_physical_card,virtual_card_not_working,wrong_exchange_rate_for_cash_withdrawal,get_disposable_virtual_card,top_up_failed,balance_not_updated_after_bank_transfer,cash_withdrawal_not_recognised,exchange_charge,top_up_by_card_charge,activate_my_card,cash_withdrawal_charge,card_about_to_expire,apple_pay_or_google_pay,verify_my_identity,country_support
card_arrival,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
card_linking,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,2,15,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
exchange_rate,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0
card_payment_wrong_exchange_rate,0,0,0,21,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
extra_charge_on_statement,0,0,0,11,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,7,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
pending_cash_withdrawal,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,10,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
fiat_currency_support,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
card_delivery_estimate,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,29,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0
automatic_top_up,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,17,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
card_not_working,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,23,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
